materialNo,title,category,status,orderable,attributes
10000305,vario quick - Standard-Set Größe 65,Zubehör > Anschlagsystem vario > vario quick > Sets,online = Verkaufsfreigabe,False,"Baugröße=65; Passend für=MANOK plus Stahl SE/RD; Variante=Standard-Set; Set beinhaltet neben der Grundausstattung*=Anschlagschraube Ø 15,5 / 29 / 39 / 49 / 59 mm
Rohlingschraube Ø 63 mm
Späneschutzring"
10000307,vario quick - Standard-Set Größe 80,Zubehör > Anschlagsystem vario > vario quick > Sets,online = Verkaufsfreigabe,False,"Baugröße=80; Passend für=SPANNTOP nova; Variante=Standard-Set; Set beinhaltet neben der Grundausstattung*=Anschlagschraube Ø 15,5 / 29 / 39 / 49 / 59 / 69 / 79 mm
Rohlingschraube Ø 78 mm
Späneschutzring"
10000310,vario quick - Starter-Set Größe 32,Zubehör > Anschlagsystem vario > vario quick > Sets,online = Verkaufsfreigabe,False,"Baugröße=32; Passend für=SPANNTOP nova; Variante=Starter-Set; Set beinhaltet neben der Grundausstattung*=Anschlagschraube Ø 15,5 mm
Rohlingschraube Ø 30 mm"
10000311,vario quick - Starter-Set Größe 42,Zubehör > Anschlagsystem vario > vario quick > Sets,online = Verkaufsfreigabe,False,"Baugröße=42; Passend für=SPANNTOP nova; Variante=Starter-Set; Set beinhaltet neben der Grundausstattung*=Anschlagschraube Ø 15,5 / 29 mm
Rohlingschraube Ø 40 mm"
10000312,vario quick - Starter-Set Größe 52,Zubehör > Anschlagsystem vario > vario quick > Sets,online = Verkaufsfreigabe,False,"Baugröße=52; Passend für=TOPlus
SPANNTOP nova; Variante=Starter-Set; Set beinhaltet neben der Grundausstattung*=Anschlagschraube Ø 15,5 / 39 mm
Rohlingschraube Ø 50 mm
Späneschutzring"
10000313,vario quick - Starter-Set Größe 65,Zubehör > Anschlagsystem vario > vario quick > Sets,online = Verkaufsfreigabe,False,"Baugröße=65; Passend für=TOPlus
SPANNTOP nova; Variante=Starter-Set; Set beinhaltet neben der Grundausstattung*=Anschlagschraube Ø 15,5 / 39 mm
Rohlingschraube Ø 63 mm
Späneschutzring"
10000314,vario quick - Starter-Set Größe 65,Zubehör > Anschlagsystem vario > vario quick > Sets,online = Verkaufsfreigabe,False,"Baugröße=65; Passend für=MANOK plus Stahl SE/RD; Variante=Starter-Set; Set beinhaltet neben der Grundausstattung*=Anschlagschraube Ø 15,5 / 39 mm
Rohlingschraube Ø 63 mm
Späneschutzring"
10000316,vario quick - Starter-Set Größe 80,Zubehör > Anschlagsystem vario > vario quick > Sets,online = Verkaufsfreigabe,False,"Baugröße=80; Passend für=SPANNTOP nova; Variante=Starter-Set; Set beinhaltet neben der Grundausstattung*=Anschlagschraube Ø 15,5 / 39 / 69 mm
Rohlingschraube Ø 78 mm
Späneschutzring"
10000319,vario quick Grundscheibe 32,Zubehör > Anschlagsystem vario > vario quick > Einzelteile / Zubehör,online = Verkaufsfreigabe,False,"Baugröße=32; Passend für=SPANNTOP nova; Beschreibung=nicht vorbereitet für Späneschutzring; Einspanntiefe maximal Axzug=38,5 mm; Einspanntiefe maximal Axfix=38,5 mm; Einspanntiefe maximal=38,5 mm"
10000320,vario quick Grundscheibe 42,Zubehör > Anschlagsystem vario > vario quick > Einzelteile / Zubehör,online = Verkaufsfreigabe,False,"Baugröße=42; Passend für=SPANNTOP nova; Beschreibung=nicht vorbereitet für Späneschutzring; Einspanntiefe maximal Axzug=42,5 mm; Einspanntiefe maximal Axfix=40,8 mm"
10000321,vario quick Grundscheibe 52,Zubehör > Anschlagsystem vario > vario quick > Einzelteile / Zubehör,online = Verkaufsfreigabe,False,"Baugröße=52; Passend für=TOPlus
SPANNTOP nova; Beschreibung=vorbereitet für Späneschutzring; Einspanntiefe maximal Axzug=42,5 mm; Einspanntiefe maximal Axfix=40,8 mm; Einspanntiefe maximal=42,5 mm"
10000322,vario quick Grundscheibe 65,Zubehör > Anschlagsystem vario > vario quick > Einzelteile / Zubehör,online = Verkaufsfreigabe,False,"Baugröße=65; Passend für=TOPlus
SPANNTOP nova; Anschlagtyp=T2; Beschreibung=vorbereitet für Späneschutzring; Einspanntiefe maximal Axzug=49,5 mm; Einspanntiefe maximal Axfix=51 mm; Einspanntiefe maximal=49,5 mm"
10000324,vario quick Grundscheibe 65,Zubehör > Anschlagsystem vario > vario quick > Einzelteile / Zubehör,online = Verkaufsfreigabe,False,Baugröße=65; Passend für=MANOK plus Stahl SE/RD; Anschlagtyp=T1; Beschreibung=vorbereitet für Späneschutzring; Einspanntiefe maximal=48 mm
10000326,vario quick Grundscheibe 80,Zubehör > Anschlagsystem vario > vario quick > Einzelteile / Zubehör,online = Verkaufsfreigabe,False,"Baugröße=80; Passend für=SPANNTOP nova; Beschreibung=vorbereitet für Späneschutzring; Einspanntiefe maximal Axzug=49,5 mm; Einspanntiefe maximal Axfix=51 mm; Einspanntiefe maximal=49,5 mm"
10000329,vario quick Rohlingsschraube Ø 30 mm,Zubehör > Anschlagsystem vario > vario quick > Einzelteile / Zubehör,online = Verkaufsfreigabe,False,"Anschlagaußen-Ø=30,0 mm"
10000330,vario quick Rohlingsschraube Ø 40 mm,Zubehör > Anschlagsystem vario > vario quick > Einzelteile / Zubehör,online = Verkaufsfreigabe,False,"Anschlagaußen-Ø=40,0 mm"
10000331,vario quick Rohlingsschraube Ø 50 mm,Zubehör > Anschlagsystem vario > vario quick > Einzelteile / Zubehör,online = Verkaufsfreigabe,False,"Anschlagaußen-Ø=50,0 mm"
10000332,vario quick Rohlingsschraube Ø 63 mm,Zubehör > Anschlagsystem vario > vario quick > Einzelteile / Zubehör,online = Verkaufsfreigabe,False,"Anschlagaußen-Ø=63,0 mm"
10000333,vario quick Rohlingsschraube Ø 78 mm,Zubehör > Anschlagsystem vario > vario quick > Einzelteile / Zubehör,online = Verkaufsfreigabe,False,"Anschlagaußen-Ø=78,0 mm"
